"set","icon","name","cost","origin","class","health","armor","ad","attack_range","as","skill_icon","mana","class_extra"
"https://lolchess.gg/champions/set5/jax","https://cdn.lolchess.gg/upload/images/champions/Jax_1657238592.png","Jax","4","Ironclad","Skirmisher","900","50","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Jax_1657245287.png","0/20",""
"https://lolchess.gg/champions/set5/kalista","https://cdn.lolchess.gg/upload/images/champions/Kalista_1657238584.png","Kalista","1","Abomination","Legionnaire","500","15","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Kalista_1657245355.png","0/120",""
"https://lolchess.gg/champions/set5/karma","https://cdn.lolchess.gg/upload/images/champions/Karma_1657239076.png","Karma","4","Dawnbringer","Invoker","700","25","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Karma_1657245307.png","0/50",""
"https://lolchess.gg/champions/set5/katarina","https://cdn.lolchess.gg/upload/images/champions/Katarina_1657239089.png","Katarina","3","Forgotten","Assassin","700","30","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Katarina_1657245338.png","0/20",""
"https://lolchess.gg/champions/set5/kayle","https://cdn.lolchess.gg/upload/images/champions/Kayle_1657239104.png","Kayle","5","Redeemed","Legionnaire","650","25","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","1.10","https://cdn.lolchess.gg/upload/images/champion-skills/Kayle_1657245372.png","0/5","Verdant"
"https://lolchess.gg/champions/set5/kennen","https://cdn.lolchess.gg/upload/images/champions/Kennen_1657239097.png","Kennen","2","Hellion","Skirmisher","600","30","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Kennen_1657245364.png","60/125",""
"https://lolchess.gg/champions/set5/khazix","https://cdn.lolchess.gg/upload/images/champions/Khazix_1657239083.png","Khazix","1","Dawnbringer","Assassin","500","25","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Khazix_1657245316.png","0/60",""
"https://lolchess.gg/champions/set5/kindred","https://cdn.lolchess.gg/upload/images/champions/Kindred_1657238757.png","Kindred","5","Eternal","Mystic","750","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Kindred_1657245401.png","100/200","Ranger"
"https://lolchess.gg/champions/set5/kled","https://cdn.lolchess.gg/upload/images/champions/Kled_1657239111.png","Kled","1","Hellion","Cavalier","400","30","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Kled_1657245381.png","-",""
"https://lolchess.gg/champions/set5/leblanc","https://cdn.lolchess.gg/upload/images/champions/Leblanc_1657238901.png","Leblanc","2","Coven","Assassin","600","20","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Leblanc_1657244883.png","20/60",""
"https://lolchess.gg/champions/set5/leesin","https://cdn.lolchess.gg/upload/images/champions/LeeSin_1657238910.png","LeeSin","3","Nightbringer","Skirmisher","850","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/LeeSin_1657244895.png","30/70",""
"https://lolchess.gg/champions/set5/leona","https://cdn.lolchess.gg/upload/images/champions/Leona_1657238865.png","Leona","1","Redeemed","Knight","700","40","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Leona_1657244834.png","0/60",""
"https://lolchess.gg/champions/set5/lissandra","https://cdn.lolchess.gg/upload/images/champions/Lissandra_1657238927.png","Lissandra","1","Coven","Renewer","550","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Lissandra_1657244925.png","0/50",""
"https://lolchess.gg/champions/set5/lulu","https://cdn.lolchess.gg/upload/images/champions/Lulu_1657238891.png","Lulu","3","Hellion","Mystic","650","25","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Lulu_1657244860.png","40/100",""
"https://lolchess.gg/champions/set5/lux","https://cdn.lolchess.gg/upload/images/champions/Lux_1657238857.png","Lux","3","Redeemed","Mystic","600","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Lux_1657244823.png","40/80",""
"https://lolchess.gg/champions/set5/mordekaiser","https://cdn.lolchess.gg/upload/images/champions/Mordekaiser_1657238939.png","Mordekaiser","4","Dragonslayer","Legionnaire","1000","60","130","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Mordekaiser_1657244949.png","0/80",""
"https://lolchess.gg/champions/set5/morgana","https://cdn.lolchess.gg/upload/images/champions/Morgana_1657238948.png","Morgana","3","Coven","Mystic","850","35","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Morgana_1657244970.png","80/120","Nightbringer"
"https://lolchess.gg/champions/set5/nautilus","https://cdn.lolchess.gg/upload/images/champions/Nautilus_1657238786.png","Nautilus","2","Ironclad","Knight","750","45","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Nautilus_1657244697.png","50/120",""
"https://lolchess.gg/champions/set5/nidalee","https://cdn.lolchess.gg/upload/images/champions/Nidalee_1657238841.png","Nidalee","3","Dawnbringer","Skirmisher","800","35","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.90","https://cdn.lolchess.gg/upload/images/champion-skills/Nidalee_1657244736.png","0/60",""
"https://lolchess.gg/champions/set5/nocturne","https://cdn.lolchess.gg/upload/images/champions/Nocturne_1657238795.png","Nocturne","3","Revenant","Assassin","650","30","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Nocturne_1657244709.png","-",""
"https://lolchess.gg/champions/set5/nunu","https://cdn.lolchess.gg/upload/images/champions/Nunu_1657238808.png","Nunu","3","Abomination","Brawler","900","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Nunu_1657244719.png","0/75",""
"https://lolchess.gg/champions/set5/pantheon","https://cdn.lolchess.gg/upload/images/champions/Pantheon_1657239144.png","Pantheon","3","Dragonslayer","Skirmisher","800","45","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Pantheon_1657245472.png","30/60",""
"https://lolchess.gg/champions/set5/poppy","https://cdn.lolchess.gg/upload/images/champions/Poppy_1657239003.png","Poppy","1","Hellion","Knight","600","40","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Poppy_1657245086.png","50/70",""
"https://lolchess.gg/champions/set5/rell","https://cdn.lolchess.gg/upload/images/champions/Rell_1657238872.png","Rell","4","Ironclad","Cavalier","950","60","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Rell_1657244846.png","80/150","Redeemed"
"https://lolchess.gg/champions/set5/riven","https://cdn.lolchess.gg/upload/images/champions/Riven_1657238920.png","Riven","3","Dawnbringer","Legionnaire","850","35","85","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Riven_1657244905.png","0/40",""
"https://lolchess.gg/champions/set5/ryze","https://cdn.lolchess.gg/upload/images/champions/Ryze_1657238849.png","Ryze","4","Abomination","Mystic","800","30","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Ryze_1657244812.png","20/50","Forgotten"
"https://lolchess.gg/champions/set5/sejuani","https://cdn.lolchess.gg/upload/images/champions/Sejuani_1657239012.png","Sejuani","2","Nightbringer","Cavalier","750","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Sejuani_1657245097.png","0/60",""
"https://lolchess.gg/champions/set5/sett","https://cdn.lolchess.gg/upload/images/champions/Sett_1657239018.png","Sett","2","Draconic","Brawler","750","35","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Sett_1657245108.png","0/50",""
"https://lolchess.gg/champions/set5/soraka","https://cdn.lolchess.gg/upload/images/champions/Soraka_1657239025.png","Soraka","2","Dawnbringer","Renewer","550","25","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Soraka_1657245117.png","30/70",""
"https://lolchess.gg/champions/set5/syndra","https://cdn.lolchess.gg/upload/images/champions/Syndra_1657239032.png","Syndra","2","Redeemed","Invoker","550","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Syndra_1657245192.png","50/90",""
"https://lolchess.gg/champions/set5/taric","https://cdn.lolchess.gg/upload/images/champions/Taric_1657239119.png","Taric","4","Verdant","Knight","950","60","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Taric_1657245424.png","120/200",""
"https://lolchess.gg/champions/set5/teemo","https://cdn.lolchess.gg/upload/images/champions/Teemo_1657239135.png","Teemo","5","Hellion","Cruel","800","30","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Teemo_1657245451.png","0/60","Invoker"
"https://lolchess.gg/champions/set5/thresh","https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Thresh.png","Thresh","2","Forgotten","Knight","800","40","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Thresh_1657245201.png","40/80",""
"https://lolchess.gg/champions/set5/trundle","https://cdn.lolchess.gg/upload/images/champions/Trundle_1657239126.png","Trundle","2","Dragonslayer","Skirmisher","700","35","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Trundle_1657245444.png","30/80",""
"https://lolchess.gg/champions/set5/udyr","https://cdn.lolchess.gg/upload/images/champions/Udyr_1657239046.png","Udyr","1","Draconic","Skirmisher","700","30","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Udyr_1657245252.png","30/40",""
"https://lolchess.gg/champions/set5/varus","https://cdn.lolchess.gg/upload/images/champions/Varus_1657238955.png","Varus","2","Redeemed","Ranger","550","20","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Varus_1657244982.png","0/60",""
"https://lolchess.gg/champions/set5/vayne","https://cdn.lolchess.gg/upload/images/champions/Vayne_1657238963.png","Vayne","1","Forgotten","Ranger","500","15","30","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Vayne_1657244991.png","-",""
"https://lolchess.gg/champions/set5/velkoz","https://cdn.lolchess.gg/upload/images/champions/Velkoz_1657238970.png","Velkoz","4","Redeemed","Spellweaver","650","25","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Velkoz_1657245000.png","0/80",""
"https://lolchess.gg/champions/set5/viego","https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Viego.png","Viego","5","Forgotten","Assassin","1000","40","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","1.00","https://cdn.lolchess.gg/upload/images/champion-skills/Viego_1657245054.png","0/40","Skirmisher"
"https://lolchess.gg/champions/set5/viktor","https://cdn.lolchess.gg/upload/images/champions/Viktor_1657238994.png","Viktor","2","Forgotten","Spellweaver","500","20","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Viktor_1657245075.png","30/70",""
"https://lolchess.gg/champions/set5/vladimir","https://cdn.lolchess.gg/upload/images/champions/Vladimir_1657238986.png","Vladimir","1","Nightbringer","Renewer","650","35","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance302.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Vladimir_1657245043.png","0/80",""
"https://lolchess.gg/champions/set5/volibear","https://cdn.lolchess.gg/upload/images/champions/Volibear_1657238977.png","Volibear","5","Revenant","Brawler","1100","60","80","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Volibear_1657245020.png","110/200",""
"https://lolchess.gg/champions/set5/warwick","https://cdn.lolchess.gg/upload/images/champions/Warwick_1657239054.png","Warwick","1","Forgotten","Brawler","700","40","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Warwick_1657245270.png","60/100",""
"https://lolchess.gg/champions/set5/yasuo","https://cdn.lolchess.gg/upload/images/champions/Yasuo_1657239039.png","Yasuo","3","Nightbringer","Legionnaire","800","35","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","1.00","https://cdn.lolchess.gg/upload/images/champion-skills/Yasuo_1657245243.png","0/40",""
"https://lolchess.gg/champions/set5/ziggs","https://cdn.lolchess.gg/upload/images/champions/Ziggs_1657239069.png","Ziggs","1","Hellion","Spellweaver","450","15","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Ziggs_1657245296.png","0/40",""
"https://lolchess.gg/champions/set5/zyra","https://cdn.lolchess.gg/upload/images/champions/Zyra_1657239061.png","Zyra","3","Draconic","Spellweaver","600","20","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Zyra_1657245279.png","40/100",""
