"set","icon","name","cost","origin","health","armor","ad","attack_range","as","skill_icon","mana","class","class_extra"
"https://lolchess.gg/champions/set8.5/jhin","https://cdn.lolchess.gg/upload/images/champions/Jhin_1677905255-Jhin.png","Jhin","4","Riftwalker","744","44","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance308.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Jhin_1677576030-jhin_w.png","-","Renegade",""
"https://lolchess.gg/champions/set8.5/jinx","https://cdn.lolchess.gg/upload/images/champions/Jinx_1668168788-Jinx.jpg","Jinx","2","Anima Squad","550","20","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Jinx_1668150345-jinx_q1.png","0/65","Prankster",""
"https://lolchess.gg/champions/set8.5/kaisa","https://cdn.lolchess.gg/upload/images/champions/Kaisa_1668168711-Kaisa.jpg","Kai'Sa","3","Star Guardian","600","25","25","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Kaisa_1668151026-kaisa_e2.png","20/105","Quickdraw",""
"https://lolchess.gg/champions/set8.5/kayle","https://cdn.lolchess.gg/upload/images/champions/Kayle_1668168735-Kayle.jpg","Kayle","1","Underground","500","15","55","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Kayle_1668149664-kayle_e2.png","0/30","Duelist",""
"https://lolchess.gg/champions/set8.5/leblanc","https://cdn.lolchess.gg/upload/images/champions/Leblanc_1668168381-Leblanc.jpg","LeBlanc","3","A.D.M.I.N.","650","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Leblanc_1668150616-leblancrq.png","0/60","Hacker","Spellslinger"
"https://lolchess.gg/champions/set8.5/leesin","https://cdn.lolchess.gg/upload/images/champions/LeeSin_1668168399-LeeSin.jpg","Lee Sin","2","Supers","700","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/LeeSin_1668149956-blindmonkwone.png","0/70","Brawler","Heart"
"https://lolchess.gg/champions/set8.5/leona","https://cdn.lolchess.gg/upload/images/champions/Leona_1668167945-Leona.jpg","Leona","5","Mecha: PRIME","1100","60","75","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Leona_1668150374-leonazenithblade.png","0/50","Aegis","Renegade"
"https://lolchess.gg/champions/set8.5/lucian","https://cdn.lolchess.gg/upload/images/champions/Lucian_1677905263-Lucian.png","Lucian","1","InfiniTeam","500","15","20","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Lucian_1677573960-lucian_w_buff.png","0/40","Quickdraw","Renegade"
"https://lolchess.gg/champions/set8.5/lulu","https://cdn.lolchess.gg/upload/images/champions/Lulu_1668168372-Lulu.jpg","Lulu","1","Gadgeteen","500","15","30","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Lulu_1668148930-lulu_commandpix%20(1).png","0/50","Heart",""
"https://lolchess.gg/champions/set8.5/lux","https://cdn.lolchess.gg/upload/images/champions/Lux_1668167927-Lux.jpg","Lux","1","Star Guardian","500","15","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Lux_1660816830-luxlightstrikekugel.png","0/70","Spellslinger",""
"https://lolchess.gg/champions/set8.5/malphite","https://cdn.lolchess.gg/upload/images/champions/Malphite_1668168421-Malphite.jpg","Malphite","2","Supers","800","45","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Malphite_1668149998-malphite_groundslam.png","40/80","Mascot",""
"https://lolchess.gg/champions/set8.5/missfortune","https://cdn.lolchess.gg/upload/images/champions/MissFortune_1668168442-MissFortune.jpg","Miss Fortune","4","Anima Squad","750","30","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/MissFortune_1668150352-missfortune_r.png","0/120","Ace","Quickdraw"
"https://lolchess.gg/champions/set8.5/mordekaiser","https://cdn.lolchess.gg/upload/images/champions/Mordekaiser_1668168435-Mordekaiser.jpg","Mordekaiser","5","LaserCorps","1200","70","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Mordekaiser_1668150361-mordekaiserr.png","60/150","Ace",""
"https://lolchess.gg/champions/set8.5/morgana","https://cdn.lolchess.gg/upload/images/champions/Morgana_1677905277-Morgana.png","Morgana","3","Threat","900","30","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Morgana_1677573968-fallenangel_purgatory.png","50/100","",""
"https://lolchess.gg/champions/set8.5/nasus","https://cdn.lolchess.gg/upload/images/champions/Nasus_1668167855-Nasus.jpg","Nasus","1","Anima Squad","700","45","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Nasus_1668148477-nasus_q%20(1).png","0/60","Mascot",""
"https://lolchess.gg/champions/set8.5/neeko","https://cdn.lolchess.gg/upload/images/champions/Neeko_1677905284-Neeko.png","Neeko","4","Star Guardian","700","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Neeko_1677577277-Towa_profile_icon.webp","0/80","Spellslinger",""
"https://lolchess.gg/champions/set8.5/nilah","https://cdn.lolchess.gg/upload/images/champions/Nilah_1668167902-Nilah.jpg","Nilah","3","Star Guardian","800","50","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Nilah_1668150522-nilahr.nilah.png","50/125","Duelist",""
"https://lolchess.gg/champions/set8.5/nunu","https://cdn.lolchess.gg/upload/images/champions/Nunu_1668167875-Nunu.jpg","Nunu","5","Gadgeteen","1337","60","0","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.20","https://cdn.lolchess.gg/upload/images/champion-skills/Nunu_1668150393-nunuw1.png","0/90","Mascot",""
"https://lolchess.gg/champions/set8.5/pantheon","https://cdn.lolchess.gg/upload/images/champions/Pantheon_1677905290-Pantheon.png","Pantheon","1","InfiniTeam","650","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Pantheon_1677573975-pantheon_w2.png","40/70","Heart",""
"https://lolchess.gg/champions/set8.5/poppy","https://cdn.lolchess.gg/upload/images/champions/Poppy_1668168526-Poppy.jpg","Poppy","1","Gadgeteen","650","45","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Poppy_1668148999-poppy_passive%20(1)%20(1).png","40/80","Defender",""
"https://lolchess.gg/champions/set8.5/pyke","https://cdn.lolchess.gg/upload/images/champions/Pyke_1677905297-Pyke.png","Pyke","2","Riftwalker","700","35","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Pyke_1677575663-pykee%20(1).png","60/120","Hacker",""
"https://lolchess.gg/champions/set8.5/rammus","https://cdn.lolchess.gg/upload/images/champions/Rammus_1668167920-Rammus.jpg","Rammus","3","Threat","950","55","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Rammus_1668150574-armordillo_recklesscharge.png","50/110","",""
"https://lolchess.gg/champions/set8.5/rell","https://cdn.lolchess.gg/upload/images/champions/Rell_1668168355-Rell.jpg","Rell","2","Star Guardian","800","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.50","https://cdn.lolchess.gg/upload/images/champion-skills/Rell_1660816811-relle.png","80/150","Defender",""
"https://lolchess.gg/champions/set8.5/renekton","https://cdn.lolchess.gg/upload/images/champions/Renekton_1668167936-Renekton.jpg","Renekton","1","LaserCorps","650","40","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Renekton_1668148666-renekton_r%20(1).png","0/50","Brawler",""
"https://lolchess.gg/champions/set8.5/riven","https://cdn.lolchess.gg/upload/images/champions/Riven_1668168390-Riven.jpg","Riven","3","Anima Squad","700","45","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.65","https://cdn.lolchess.gg/upload/images/champion-skills/Riven_1668150672-rivenbladeoftheexile.png","30/90","Brawler","Defender"
"https://lolchess.gg/champions/set8.5/samira","https://cdn.lolchess.gg/upload/images/champions/Samira_1668168533-Samira.jpg","Samira","4","Underground","700","30","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Samira_1668150326-samirap.png","0/65","Ace","Sureshot"
"https://lolchess.gg/champions/set8.5/shen","https://cdn.lolchess.gg/upload/images/champions/Shen_1677905302-Shen.png","Shen","3","InfiniTeam","750","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Shen_1677575233-shen_r.png","50/100","Defender","Hacker"
"https://lolchess.gg/champions/set8.5/sivir","https://cdn.lolchess.gg/upload/images/champions/Sivir_1677905307-Sivir.png","Sivir","2","InfiniTeam","550","20","65","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Sivir_1668150082-sivir_q.png","0/50","Sureshot",""
"https://lolchess.gg/champions/set8.5/sona","https://cdn.lolchess.gg/upload/images/champions/Sona_1668168576-Sona.jpg","Sona","3","Underground","650","25","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Sona_1668150850-sona_q.png","0/40","Heart","Spellslinger"
"https://lolchess.gg/champions/set8.5/sylas","https://cdn.lolchess.gg/upload/images/champions/Sylas_1668168543-Sylas.jpg","Sylas","1","Anima Squad","700","45","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.55","https://cdn.lolchess.gg/upload/images/champion-skills/Sylas_1668149466-sylasq.png","30/80","Renegade",""
"https://lolchess.gg/champions/set8.5/syndra","https://cdn.lolchess.gg/upload/images/champions/Syndra_1668168599-Syndra.jpg","Syndra","5","Star Guardian","850","40","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.85","https://cdn.lolchess.gg/upload/images/champion-skills/Syndra_1668150277-syndraw2.png","70/125","Heart",""
"https://lolchess.gg/champions/set8.5/twistedfate","https://cdn.lolchess.gg/upload/images/champions/TwistedFate_1677905313-TwistedFate.png","Twisted Fate","4","InfiniTeam","750","30","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/TwistedFate_1677723441-cardmaster_fatesgambit.png","0/30","Duelist","Spellslinger"
"https://lolchess.gg/champions/set8.5/ezrealfuture","https://cdn.lolchess.gg/upload/images/champions/EzrealFuture_1677905318-UltimateEzreal.png","Ultimate Ezreal","5","InfiniTeam","800","40","64","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.95","https://cdn.lolchess.gg/upload/images/champion-skills/EzrealFuture_1677726932-FutureEzreal_1677574497-ezreal_e.png","50/150","Parallel","Sureshot"
"https://lolchess.gg/champions/set8.5/urgot","https://cdn.lolchess.gg/upload/images/champions/Urgot_1685930537-Urgot.jpg","Urgot","5","Star Guardian","1000","40","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance303.png","1.00","https://cdn.lolchess.gg/upload/images/champion-skills/Urgot_1668151567-namir.png","100/200","","Threat"
"https://lolchess.gg/champions/set8.5/vayne","https://cdn.lolchess.gg/upload/images/champions/Vayne_1668168465-Vayne.jpg","Vayne","3","Anima Squad","600","25","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Vayne_1668150714-vayne_condemn.png","0/40","Duelist",""
"https://lolchess.gg/champions/set8.5/vex","https://cdn.lolchess.gg/upload/images/champions/Vex_1677905323-Vex.png","Vex","3","Riftwalker","650","25","40","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance304.png","0.70","https://cdn.lolchess.gg/upload/images/champion-skills/Vex_1677573951-icons_vex_q01.png","0/40","Mascot",""
"https://lolchess.gg/champions/set8.5/vi","https://cdn.lolchess.gg/upload/images/champions/Vi_1668168449-Vi.jpg","Vi","2","Underground","700","45","50","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/Vi_1668150046-viw.png","0/80","Aegis","Brawler"
"https://lolchess.gg/champions/set8.5/viego","https://cdn.lolchess.gg/upload/images/champions/Viego_1668168492-Viego.jpg","Viego","4","Ox Force","1000","50","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.80","https://cdn.lolchess.gg/upload/images/champion-skills/Viego_1668144400-viego_r.png","0/45","Heart","Renegade"
"https://lolchess.gg/champions/set8.5/warwick","https://cdn.lolchess.gg/upload/images/champions/Warwick_1677905329-Warwick.png","Warwick","4","A.D.M.I.N.","950","50","70","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.95","https://cdn.lolchess.gg/upload/images/champion-skills/Warwick_1677722920-warwickr.png","40/90","Brawler","LaserCorps"
"https://lolchess.gg/champions/set8.5/monkeyking","https://cdn.lolchess.gg/upload/images/champions/MonkeyKing_1668168644-Wukong.jpg","Wukong","1","Mecha: PRIME","650","40","60","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.60","https://cdn.lolchess.gg/upload/images/champion-skills/MonkeyKing_1668149530-monkeykingcyclone.png","50/100","Defender",""
"https://lolchess.gg/champions/set8.5/yasuo","https://cdn.lolchess.gg/upload/images/champions/Yasuo_1668168633-Yasuo.jpg","Yasuo","2","LaserCorps","750","40","45","https://cdn.dak.gg/tft/images2/tft/attack-distance/ico_attack_distance301.png","0.75","https://cdn.lolchess.gg/upload/images/champion-skills/Yasuo_1668150128-yasuo_q3.png","0/70","Duelist",""
